"Contaminant","G","AC_la","Shape","Size..µm.","Surface_area","Volume","Microplastic","Total_surface_area","size_assigned","TMC_rsd_0","TMC_rsd_0n","TMC_rsd_10","TMC_rsd_50","TMC_rsd_100","TMC_rsd_200"
"Antimony",0.004,27.8,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PP",4.956e+09,"150",0.96078187868105,0.96078187868105,0.951271937309243,0.768825401011339,0.482281645374491,0.200663100603909
"Arsenic",0.003,1.92,"Long Cylinder",100,329867.228626928,7853981.63397448,"PP",4.956e+10,"150",104.33490713802,104.33490713802,103.302186942176,83.4896333910751,52.3727724273862,21.7907585812058
"BPA",6e-05,0.19,"Long Cylinder",13.2,5747.6065915956,18063.906430729,"PP",375454545454.545,"150",159.747226240031,159.747226240031,158.166027854049,127.831017632268,80.1879769223137,33.3638408898844
"Bromine",0.01,13,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PP",4.956e+09,"150",5.13648773602561,5.13648773602562,5.08564612638403,4.11025887463754,2.57835187334824,1.07277580707475
"Cadmium",0.005,0.00014,"Long Cylinder",3000,296880505.764235,212057504117.311,"PP",1.652e+09,"150",79493.2625813488,79493.2625813488,78706.4281464195,63611.1492503429,39903.0647065799,16602.4827285377
"Chromium",0.03,0.000454,"Long Cylinder",500,8246680.71567321,981747704.24681,"PP",9.912e+09,"150",882480.271828189,882480.271828189,873745.369731177,706167.824276935,442976.753570843,184309.499893899
"Manganese",0.12,0.13,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PP",2.478e+09,"150",3081.89264161537,3081.89264161537,3051.38767583042,2466.15532478253,1547.01112400894,643.665484244847
"Mercury",0.002,0.00125,"Long Cylinder",4.5,667.98113796953,715.694076395925,"PP",1101333333333.33,"150",2374198.77576295,2374198.77576295,2350698.65397306,1899852.99094357,1191771.53256985,495860.817492327
"Propanolol",5e-04,0.133,"Long Cylinder",45,66798.113796953,715694.076395925,"PP",110133333333.333,"150",557.84745671122,557.84745671122,552.325811553821,446.394029826968,280.021506712842,116.508650726581
"Sulfamethoxazole",0.02,0.087,"Long Cylinder",45,66798.113796953,715694.076395925,"PP",110133333333.333,"150",34112.0513759045,34112.0513759045,33774.4059478889,27296.7383756261,17123.1542035899,7124.43703293573
"Aluminum",2.9,0.375,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PP",1.416e+10,"150",2581941.16864221,2581941.16864221,2556384.78619571,2066090.12765114,1296051.54166972,539248.639022905
"Antimony",0.004,27.8,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PP",2.832e+10,"150",96.078187868105,96.078187868105,95.1271937309243,76.8825401011339,48.2281645374491,20.0663100603909
"Arsenic",0.003,1.92,"Short Cylinder",100,18849.5559215388,78539.8163397448,"PP",2.832e+11,"150",10433.490713802,10433.490713802,10330.2186942176,8348.96333910751,5237.27724273862,2179.07585812058
"BPA",6e-05,0.19,"Short Cylinder",13.2,328.434662376891,180.63906430729,"PP",2145454545454.55,"150",15974.7226240031,15974.7226240031,15816.6027854049,12783.1017632268,8018.79769223137,3336.38408898844
"Bromine",0.01,13,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PP",2.832e+10,"150",513.648773602561,513.648773602562,508.564612638403,411.025887463754,257.835187334824,107.277580707475
"Cadmium",0.005,0.00014,"Short Cylinder",3000,16964600.3293849,2120575041.17311,"PP",9.44e+09,"150",7949326.25813488,7949326.25813488,7870642.81464195,6361114.92503429,3990306.47065799,1660248.27285377
"Chromium",0.03,0.000454,"Short Cylinder",500,471238.898038469,9817477.0424681,"PP",5.664e+10,"150",88248027.1828189,88248027.1828189,87374536.9731177,70616782.4276935,44297675.3570843,18430949.9893899
"Manganese",0.12,0.13,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PP",1.416e+10,"150",308189.264161537,308189.264161537,305138.767583042,246615.532478252,154701.112400894,64366.5484244847
"Mercury",0.002,0.00125,"Short Cylinder",4.5,38.170350741116,7.15694076395925,"PP",6293333333333.33,"150",237419877.576295,237419877.576295,235069865.397306,189985299.094357,119177153.256985,49586081.7492327
"Propanolol",5e-04,0.133,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PP",629333333333.333,"150",55784.7456711219,55784.745671122,55232.5811553821,44639.4029826968,28002.1506712842,11650.8650726581
"Sulfamethoxazole",0.02,0.087,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PP",629333333333.333,"150",3411205.13759045,3411205.13759045,3377440.59478888,2729673.83756261,1712315.42035899,712443.703293573
