"Contaminant","G","AC_la","Shape","Size..µm.","Surface_area","Volume","Microplastic","Total_surface_area","size_assigned","TMC_rsd_0","TMC_rsd_0n","TMC_rsd_10","TMC_rsd_50","TMC_rsd_100","TMC_rsd_200"
"Aluminum",2.9,0.375,"Sphere",2000,12566370.6143592,4188790204.78639,"PE",3.48e+09,"1",8566355656.97818,8566355656.97818,8481564777.92897,6854866821.82559,4300035411.55673,1789117306.58871
"Antimony",0.004,27.8,"Sphere",1000,3141592.65358979,523598775.598299,"PE",6.96e+09,"1",318767.886020026,318767.886020026,315612.680895397,255080.630928762,160011.240817045,66575.935496975
"Arsenic",0.003,1.92,"Sphere",100,31415.9265358979,523598.775598299,"PE",6.96e+10,"1",34616200.1224872,34616200.1224872,34273564.5659845,27700162.2649202,17376220.682476,7229730.49537462
"BPA",6e-05,0.19,"Sphere",13.2,547.391103961485,1204.26042871527,"PE",527272727272.727,"1",53000880.5703154,53000880.5703154,52476271.1058136,42411731.6974855,26604739.8009202,11069443.8206693
"Bromine",0.01,13,"Sphere",1000,3141592.65358979,523598775.598299,"PE",6.96e+09,"1",1704182.15987629,1704182.1598763,1687313.94786385,1363700.29611915,855444.710521895,355925.193618443
"Cadmium",0.005,0.00014,"Sphere",3000,28274333.8823081,14137166941.1541,"PE",2.32e+09,"1",26374247712.3712,26374247712.3712,26113192050.2739,21104885535.1773,13239025281.8865,5508366091.714
"Chromium",0.03,0.000454,"Sphere",500,785398.163397448,65449846.9497873,"PE",1.392e+10,"1",292789005441.302,292789005441.302,289890942584.539,234292121359.678,146970677138.123,61150143397.0012
"Manganese",0.12,0.13,"Sphere",2000,12566370.6143592,4188790204.78639,"PE",3.48e+09,"1",1022509295.92578,1022509295.92578,1012388368.71831,818220177.671489,513266826.313137,213555116.171066
"Mercury",0.002,0.00125,"Sphere",4.5,63.6172512351933,47.712938426395,"PE",1546666666666.67,"1",787710865009.487,787710865009.487,779914002568.181,630332581317.295,395405555085.676,164516533939.191
"Propanolol",5e-04,0.133,"Sphere",45,6361.72512351933,47712.938426395,"PE",154666666666.667,"1",185082440.086816,185082440.086816,183250470.528238,148104459.895981,92905440.5746419,38655200.643607
"Sulfamethoxazole",0.02,0.087,"Sphere",45,6361.72512351933,47712.938426395,"PE",154666666666.667,"1",11317684842.0903,11317684842.0903,11205660956.4394,9056502605.13356,5681114297.20799,2363743303.72402
"Aluminum",2.9,0.375,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PE",2.436e+09,"1",571090377.131878,571090377.131878,565437651.861931,456991121.455039,286669027.437115,119274487.105914
"Antimony",0.004,27.8,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PE",4.872e+09,"1",21251.1924013351,21251.1924013351,21040.8453930265,17005.3753952508,10667.4160544697,4438.39569979833
"Arsenic",0.003,1.92,"Long Cylinder",100,329867.228626928,7853981.63397448,"PE",4.872e+10,"1",2307746.67483248,2307746.67483248,2284904.30439897,1846677.48432801,1158414.71216507,481982.033024975
"BPA",6e-05,0.19,"Long Cylinder",13.2,5747.6065915956,18063.906430729,"PE",369090909090.909,"1",3533392.03802103,3533392.03802103,3498418.07372091,2827448.77983236,1773649.32006135,737962.921377952
"Bromine",0.01,13,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PE",4.872e+09,"1",113612.143991753,113612.143991753,112487.596524257,90913.3530746099,57029.6473681263,23728.3462412295
"Cadmium",0.005,0.00014,"Long Cylinder",3000,296880505.764235,212057504117.311,"PE",1.624e+09,"1",1758283180.82475,1758283180.82475,1740879470.01826,1406992369.01182,882601685.459098,367224406.114267
"Chromium",0.03,0.000454,"Long Cylinder",500,8246680.71567321,981747704.24681,"PE",9.744e+09,"1",19519267029.4201,19519267029.4201,19326062838.9692,15619474757.3118,9798045142.54153,4076676226.46675
"Manganese",0.12,0.13,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PE",2.436e+09,"1",68167286.3950518,68167286.3950518,67492557.9145541,54548011.8447659,34217788.4208758,14237007.7447377
"Mercury",0.002,0.00125,"Long Cylinder",4.5,667.98113796953,715.694076395925,"PE",1082666666666.67,"1",52514057667.2992,52514057667.2992,51994266837.8787,42022172087.8197,26360370339.0451,10967768929.2794
"Propanolol",5e-04,0.133,"Long Cylinder",45,66798.113796953,715694.076395925,"PE",108266666666.667,"1",12338829.339121,12338829.339121,12216698.0352159,9873630.65973207,6193696.03830946,2577013.37624047
"Sulfamethoxazole",0.02,0.087,"Long Cylinder",45,66798.113796953,715694.076395925,"PE",108266666666.667,"1",754512322.806023,754512322.806023,747044063.762626,603766840.342237,378740953.147199,157582886.914934
"Aluminum",2.9,0.375,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PE",1.392e+10,"1",57109037713.1878,57109037713.1878,56543765186.1931,45699112145.5039,28666902743.7115,11927448710.5914
"Antimony",0.004,27.8,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PE",2.784e+10,"1",2125119.24013351,2125119.24013351,2104084.53930265,1700537.53952508,1066741.60544697,443839.569979833
"Arsenic",0.003,1.92,"Short Cylinder",100,18849.5559215388,78539.8163397448,"PE",2.784e+11,"1",230774667.483248,230774667.483248,228490430.439897,184667748.432801,115841471.216507,48198203.3024975
"BPA",6e-05,0.19,"Short Cylinder",13.2,328.434662376891,180.63906430729,"PE",2109090909090.91,"1",353339203.802103,353339203.802103,349841807.372091,282744877.983237,177364932.006135,73796292.1377952
"Bromine",0.01,13,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PE",2.784e+10,"1",11361214.3991753,11361214.3991753,11248759.6524257,9091335.30746099,5702964.73681263,2372834.62412295
"Cadmium",0.005,0.00014,"Short Cylinder",3000,16964600.3293849,2120575041.17311,"PE",9.28e+09,"1",175828318082.475,175828318082.475,174087947001.826,140699236901.182,88260168545.9098,36722440611.4267
"Chromium",0.03,0.000454,"Short Cylinder",500,471238.898038469,9817477.0424681,"PE",5.568e+10,"1",1951926702942.01,1951926702942.01,1932606283896.92,1561947475731.18,979804514254.153,407667622646.675
"Manganese",0.12,0.13,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PE",1.392e+10,"1",6816728639.50518,6816728639.50518,6749255791.45541,5454801184.4766,3421778842.08758,1423700774.47377
"Mercury",0.002,0.00125,"Short Cylinder",4.5,38.170350741116,7.15694076395925,"PE",6186666666666.67,"1",5251405766729.92,5251405766729.92,5199426683787.87,4202217208781.97,2636037033904.51,1096776892927.94
"Propanolol",5e-04,0.133,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PE",618666666666.667,"1",1233882933.9121,1233882933.9121,1221669803.52159,987363065.973207,619369603.830946,257701337.624047
"Sulfamethoxazole",0.02,0.087,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PE",618666666666.667,"1",75451232280.6022,75451232280.6022,74704406376.2625,60376684034.2237,37874095314.7199,15758288691.4934
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PE",3504017828.17712,"1",8743000131.16696,8743000131.16695,8656460802.62004,6996219153.41938,4388705264.25527,1826010204.63538
"Antimony",0.004,27.8,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PE",7008035656.35423,"1",325341.111306138,325341.111306138,322120.843560656,260340.578767776,163310.7887964,67948.7796316811
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.2",100,30993.6377269842,513019.932064746,"PE",70080356563.5423,"1",35330011.305901,35330011.3059009,34980310.355415,28271359.7255632,17734530.9708591,7378812.78812787
"BPA",6e-05,0.19,"Oblate Spheroid e=0.2",13.2,540.033143754972,1179.92942711109,"PE",530911792148.048,"1",54093797.2147766,54093797.2147766,53558369.9221665,43286292.4027762,27153348.8549039,11297703.790435
"Bromine",0.01,13,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PE",7008035656.35423,"1",1739323.63352128,1739323.63352128,1722107.58672812,1391820.78648927,873084.601642295,363264.629569372
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.2",3000,27894273.9542857,13851538165.7481,"PE",2336011885.45141,"1",26918103852.115,26918103852.115,26651665032.6972,21540083600.4291,13512023596.845,5621952600.47838
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.2",500,774840.943174604,64127491.5080932,"PE",14016071312.7085,"1",298826527345.065,298826527345.065,295868704327.739,239123395035.601,150001319224.888,62411103758.6146
"Manganese",0.12,0.13,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PE",3504017828.17712,"1",1043594180.11277,1043594180.11277,1033264552.03687,835092471.893559,523850760.985377,217958777.741623
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.2",4.5,62.7621163971429,46.7489413093999,"PE",1557341256967.61,"1",803954035049.835,803954035049.835,795996395643.222,643330496866.15,403559104759.105,167908984334.288
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PE",155734125696.761,"1",188898974.400807,188898974.400807,187029228.299629,151158481.40652,94821218.2234739,39452298.9507254
"Sulfamethoxazole",0.02,0.087,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PE",155734125696.761,"1",11551063721.9804,11551063721.9804,11436729822.4601,9243254265.31824,5798262999.41243,2412485407.10183
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.9",2000,8236011.18997916,1825851319.83569,"PE",5232503258.38994,"1",19652567696.4189,19652567696.4189,19458044078.9928,15726143025.1408,9864957796.11689,4104516598.71571
"Antimony",0.004,27.8,"Oblate Spheroid e=0.9",1000,2059002.79749479,228231414.979461,"PE",10465006516.7799,"1",731303.68505652,731303.68505652,724065.148064729,585195.101406878,367090.962395816,152735.671001577
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.9",100,20590.0279749479,228231.414979461,"PE",104650065167.799,"1",79415009.5491064,79415009.5491064,78628949.6726542,63548530.5434031,39863784.1976706,16586139.2728275
"BPA",6e-05,0.19,"Oblate Spheroid e=0.9",13.2,358.760647435492,524.924951047482,"PE",792803523998.475,"1",121592359.118249,121592359.118249,120388822.465308,97299185.521,61035459.0586345,25395045.776578
"Bromine",0.01,13,"Oblate Spheroid e=0.9",1000,2059002.79749479,228231414.979461,"PE",10465006516.7799,"1",3909662.00857139,3909662.00857139,3870963.67619221,3128543.04213677,1962524.76050071,816548.394969969
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.9",3000,18531025.1774531,6162248204.44546,"PE",3488335505.59329,"1",60506673942.1763,60506673942.1763,59907771179.1651,48417928033.0691,30372407007.7491,12637058493.5829
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.9",500,514750.699373698,28528926.8724327,"PE",20930013033.5598,"1",671704045525.482,671704045525.482,665055433354.608,537502989618.212,337173857530.959,140288050237.131
"Manganese",0.12,0.13,"Oblate Spheroid e=0.9",2000,8236011.18997916,1825851319.83569,"PE",5232503258.38994,"1",2345797205.14284,2345797205.14284,2322578205.71532,1877125825.28206,1177514856.30043,489929036.981981
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.9",4.5,41.6948066492695,20.7975876900034,"PE",2325557003728.86,"1",1807132661739.67,1807132661739.67,1789245432551.06,1446082117254.33,907122555964.772,377426813675.008
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.9",45,4169.48066492695,20797.5876900034,"PE",232555700372.886,"1",424608238.190711,424608238.190711,420405411.783615,339774933.565397,213139698.299993,88681112.2356691
"Sulfamethoxazole",0.02,0.087,"Oblate Spheroid e=0.9",45,4169.48066492695,20797.5876900034,"PE",232555700372.886,"1",25964549737.6389,25964549737.6389,25707549318.2624,20777041914.5737,13033370056.9651,5422799047.05471
"Aluminum",2.9,0.375,"Sphere",2000,12566370.6143592,4188790204.78639,"PP",3.54e+09,"1",8714051444.16745,8714051444.16746,8627798653.4105,6973054180.82258,4374173953.13529,1819964156.70231
"Antimony",0.004,27.8,"Sphere",1000,3141592.65358979,523598775.598299,"PP",7.08e+09,"1",324263.884054854,324263.884054854,321054.278841869,259478.572841327,162770.055313891,67723.7964538193
"Arsenic",0.003,1.92,"Sphere",100,31415.9265358979,523598.775598299,"PP",7.08e+10,"1",35213031.1590818,35213031.1590818,34864488.0929842,28177751.2694878,17675810.6942428,7354381.02115694
"BPA",6e-05,0.19,"Sphere",13.2,547.391103961485,1204.26042871527,"PP",536363636363.636,"1",53914688.8560105,53914688.8560105,53381034.4007414,43142968.4508904,27063442.2112809,11260296.300336
"Bromine",0.01,13,"Sphere",1000,3141592.65358979,523598775.598299,"PP",7.08e+09,"1",1733564.61090864,1733564.61090864,1716405.56765461,1387212.37019017,870193.757255031,362061.834887727
"Cadmium",0.005,0.00014,"Sphere",3000,28274333.8823081,14137166941.1541,"PP",2.36e+09,"1",26828976121.2052,26828976121.2052,26563419499.4166,21468762871.9907,13467284338.4707,5603337920.88148
"Chromium",0.03,0.000454,"Sphere",500,785398.163397448,65449846.9497873,"PP",1.416e+10,"1",297837091742.014,297837091742.014,294889062284.272,238331640693.465,149504654330.16,62204456214.1909
"Manganese",0.12,0.13,"Sphere",2000,12566370.6143592,4188790204.78639,"PP",3.54e+09,"1",1040138766.54519,1040138766.54519,1029843340.59277,832327422.114101,522116254.353019,217237100.932636
"Mercury",0.002,0.00125,"Sphere",4.5,63.6172512351933,47.712938426395,"PP",1573333333333.33,"1",801292086819.996,801292086819.996,793360795715.908,641200384443.456,402222892242.326,167353025903.66
"Propanolol",5e-04,0.133,"Sphere",45,6361.72512351933,47712.938426395,"PP",157333333333.333,"1",188273516.640037,188273516.640037,186409961.399414,150657985.066601,94507258.515584,39321669.6202209
"Sulfamethoxazole",0.02,0.087,"Sphere",45,6361.72512351933,47712.938426395,"PP",157333333333.333,"1",11512817339.3678,11512817339.3678,11398862007.4125,9212649201.77379,5779064543.71157,2404497498.61581
"Aluminum",2.9,0.375,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PP",2.478e+09,"1",580936762.944497,580936762.944497,575186576.894033,464870278.721505,291611596.875686,121330943.780154
"Antimony",0.004,27.8,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PP",4.956e+09,"1",21617.5922703236,21617.5922703236,21403.618589458,17298.5715227551,10851.3370209261,4514.91976358796
"Arsenic",0.003,1.92,"Long Cylinder",100,329867.228626928,7853981.63397448,"PP",4.956e+10,"1",2347535.41060546,2347535.41060546,2324299.20619895,1878516.75129919,1178387.37961619,490292.06807713
"BPA",6e-05,0.19,"Long Cylinder",13.2,5747.6065915956,18063.906430729,"PP",375454545454.545,"1",3594312.5904007,3594312.5904007,3558735.6267161,2876197.89672603,1804229.48075206,750686.420022399
"Bromine",0.01,13,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PP",4.956e+09,"1",115570.974060576,115570.974060576,114427.037843641,92480.8246793446,58012.9171503354,24137.4556591818
"Cadmium",0.005,0.00014,"Long Cylinder",3000,296880505.764235,212057504117.311,"PP",1.652e+09,"1",1788598408.08035,1788598408.08035,1770894633.29444,1431250858.13271,897818955.898048,373555861.392099
"Chromium",0.03,0.000454,"Long Cylinder",500,8246680.71567321,981747704.24681,"PP",9.912e+09,"1",19855806116.1343,19855806116.1343,19659270818.9515,15888776046.231,9966976955.34397,4146963747.61273
"Manganese",0.12,0.13,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PP",2.478e+09,"1",69342584.4363458,69342584.4363458,68656222.7061844,55488494.8076067,34807750.2902012,14482473.3955091
"Mercury",0.002,0.00125,"Long Cylinder",4.5,667.98113796953,715.694076395925,"PP",1101333333333.33,"1",53419472454.6664,53419472454.6664,52890719714.3939,42746692296.2304,26814859482.8217,11156868393.5773
"Propanolol",5e-04,0.133,"Long Cylinder",45,66798.113796953,715694.076395925,"PP",110133333333.333,"1",12551567.7760024,12551567.7760024,12427330.759961,10043865.6711068,6300483.90103894,2621444.64134806
"Sulfamethoxazole",0.02,0.087,"Long Cylinder",45,66798.113796953,715694.076395925,"PP",110133333333.333,"1",767521155.95785,767521155.957851,759924133.827498,614176613.451586,385270969.580772,160299833.241054
"Aluminum",2.9,0.375,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PP",1.416e+10,"1",58093676294.4497,58093676294.4497,57518657689.4033,46487027872.1505,29161159687.5686,12133094378.0154
"Antimony",0.004,27.8,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PP",2.832e+10,"1",2161759.22703236,2161759.22703236,2140361.85894579,1729857.15227551,1085133.7020926,451491.976358796
"Arsenic",0.003,1.92,"Short Cylinder",100,18849.5559215388,78539.8163397448,"PP",2.832e+11,"1",234753541.060546,234753541.060546,232429920.619895,187851675.129919,117838737.961619,49029206.8077129
"BPA",6e-05,0.19,"Short Cylinder",13.2,328.434662376891,180.63906430729,"PP",2145454545454.55,"1",359431259.04007,359431259.04007,355873562.671609,287619789.672603,180422948.075206,75068642.0022399
"Bromine",0.01,13,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PP",2.832e+10,"1",11557097.4060576,11557097.4060576,11442703.7843641,9248082.46793446,5801291.71503354,2413745.56591818
"Cadmium",0.005,0.00014,"Short Cylinder",3000,16964600.3293849,2120575041.17311,"PP",9.44e+09,"1",178859840808.035,178859840808.035,177089463329.444,143125085813.271,89781895589.8048,37355586139.2099
"Chromium",0.03,0.000454,"Short Cylinder",500,471238.898038469,9817477.0424681,"PP",5.664e+10,"1",1985580611613.43,1985580611613.43,1965927081895.15,1588877604623.1,996697695534.397,414696374761.273
"Manganese",0.12,0.13,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PP",1.416e+10,"1",6934258443.63458,6934258443.63458,6865622270.61843,5548849480.76067,3480775029.02012,1448247339.55091
"Mercury",0.002,0.00125,"Short Cylinder",4.5,38.170350741116,7.15694076395925,"PP",6293333333333.33,"1",5341947245466.64,5341947245466.64,5289071971439.39,4274669229623.04,2681485948282.17,1115686839357.73
"Propanolol",5e-04,0.133,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PP",629333333333.333,"1",1255156777.60024,1255156777.60024,1242733075.9961,1004386567.11068,630048390.103893,262144464.134806
"Sulfamethoxazole",0.02,0.087,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PP",629333333333.333,"1",76752115595.785,76752115595.785,75992413382.7498,61417661345.1586,38527096958.0772,16029983324.1054
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PP",3564431928.66293,"1",8893741512.7388,8893741512.7388,8805710126.80314,7116843621.58178,4464372596.3976,1857493139.19806
"Antimony",0.004,27.8,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PP",7128863857.32586,"1",330950.440811416,330950.440811416,327674.651208254,264829.209436186,166126.492051511,69120.3103149859
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.2",100,30993.6377269842,513019.932064746,"PP",71288638573.2586,"1",35939149.4318648,35939149.4318648,35583419.1546463,28758796.9622109,18040298.7462188,7506033.69826801
"BPA",6e-05,0.19,"Oblate Spheroid e=0.2",13.2,540.033143754972,1179.92942711109,"PP",540065443736.807,"1",55026448.8908934,55026448.8908934,54481790.0932384,44032607.789031,27621510.0420574,11492491.7868218
"Bromine",0.01,13,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PP",7128863857.32586,"1",1769311.97203027,1769311.97203026,1751799.09684413,1415817.69660115,888137.784429231,369527.812837809
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.2",3000,27894273.9542857,13851538165.7481,"PP",2376287952.44195,"1",27382209090.9446,27382209090.9446,27111176498.7781,21911464352.1607,13744989520.9286,5718882817.728
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.2",500,774840.943174604,64127491.5080932,"PP",14257727714.6517,"1",303978708851.015,303978708851.015,300969888885.114,243246212191.387,152587548866.696,63487157271.6941
"Manganese",0.12,0.13,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PP",3564431928.66293,"1",1061587183.21816,1061587183.21816,1051079458.10648,849490617.96069,532882670.657538,221716687.702686
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.2",4.5,62.7621163971429,46.7489413093999,"PP",1584191968294.64,"1",817815311516.211,817815311516.211,809720471430.174,654422401984.531,410517020358.4,170803966822.81
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PP",158419196829.464,"1",192155853.269787,192155853.269787,190253870.166864,153764662.120426,96456066.8135338,40132511.0016
"Sulfamethoxazole",0.02,0.087,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PP",158419196829.464,"1",11750219993.049,11750219993.049,11633914819.3991,9402620718.16856,5898233051.12644,2454079983.08635
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.9",2000,8236011.18997916,1825851319.83569,"PP",5322718831.81046,"1",19991405070.4951,19991405070.4951,19793527597.5962,15997283422.126,10035043275.3603,4175284126.27978
"Antimony",0.004,27.8,"Oblate Spheroid e=0.9",1000,2059002.79749479,228231414.979461,"PP",10645437663.6209,"1",743912.369281632,743912.369281632,736549.029927914,595284.67212079,373420.116919882,155369.044639535
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.9",100,20590.0279749479,228231.414979461,"PP",106454376636.209,"1",80784233.8516772,80784233.8516772,79984621.2187344,64644194.863117,40551090.8217684,16872107.1913245
"BPA",6e-05,0.19,"Oblate Spheroid e=0.9",13.2,358.760647435492,524.924951047482,"PP",806472550274.311,"1",123688779.103046,123688779.103046,122464491.818158,98976757.6851552,62087794.5596454,25832891.3934155
"Bromine",0.01,13,"Oblate Spheroid e=0.9",1000,2059002.79749479,228231414.979461,"PP",10645437663.6209,"1",3977069.97423642,3977069.97423642,3937704.42923,3182483.43941499,1996361.39430245,830626.8155729
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.9",3000,18531025.1774531,6162248204.44546,"PP",3548479221.20697,"1",61549892458.4207,61549892458.4207,60940663785.7024,49252719895.7082,30896069197.5378,12854938812.4377
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.9",500,514750.699373698,28528926.8724327,"PP",21290875327.2418,"1",683285149758.68,683285149758.68,676521906343.481,546770282542.664,342987199902.182,142706809723.978
"Manganese",0.12,0.13,"Oblate Spheroid e=0.9",2000,8236011.18997916,1825851319.83569,"PP",5322718831.81046,"1",2386241984.54185,2386241984.54185,2362622657.538,1909490063.64899,1197816836.58147,498376089.34374
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.9",4.5,41.6948066492695,20.7975876900034,"PP",2365652814137.98,"1",1838290121424.83,1838290121424.83,1820094491732.98,1471014567551.82,922762600033.13,383934172531.474
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.9",45,4169.48066492695,20797.5876900034,"PP",236565281413.798,"1",431929069.883654,431929069.883654,427653780.952298,345633122.075145,216814520.684476,90210096.9293876
"Sulfamethoxazole",0.02,0.087,"Oblate Spheroid e=0.9",45,4169.48066492695,20797.5876900034,"PP",236565281413.798,"1",26412214388.2878,26412214388.2878,26150782927.198,21135266775.1698,13258083333.8093,5516295582.34876
"Aluminum",2.9,0.375,"Sphere",2000,12566370.6143592,4188790204.78639,"PS",2.79e+09,"1",6867854104.30147,6867854104.30147,6799875209.89132,5495712193.36017,3447442183.40324,1434378530.28233
"Antimony",0.004,27.8,"Sphere",1000,3141592.65358979,523598775.598299,"PS",5.58e+09,"1",255563.908619504,255563.908619504,253034.304510965,204504.298934266,128284.874103321,53375.5344932644
"Arsenic",0.003,1.92,"Sphere",100,31415.9265358979,523598.775598299,"PS",5.58e+10,"1",27752643.2016492,27752643.2016493,27477944.0054876,22207888.7123929,13930935.5471575,5796249.44887793
"BPA",6e-05,0.19,"Sphere",13.2,547.391103961485,1204.26042871527,"PS",422727272727.273,"1",42492085.2848218,42492085.2848218,42071493.2141437,34002509.0333289,21329662.0817722,8874640.30450209
"Bromine",0.01,13,"Sphere",1000,3141592.65358979,523598775.598299,"PS",5.58e+09,"1",1366283.97300427,1366283.97300427,1352760.32027016,1093311.44430242,685830.67309083,285353.819021683
"Cadmium",0.005,0.00014,"Sphere",3000,28274333.8823081,14137166941.1541,"PS",1.86e+09,"1",21144871010.7804,21144871010.7804,20935576385.1334,16920296161.8232,10614046131.1676,4416190056.28795
"Chromium",0.03,0.000454,"Sphere",500,785398.163397448,65449846.9497873,"PS",1.116e+10,"1",234736012983.113,234736012983.113,232412566037.604,187837649021.121,117829939429.702,49025545999.3199
"Manganese",0.12,0.13,"Sphere",2000,12566370.6143592,4188790204.78639,"PS",2.79e+09,"1",819770383.802562,819770383.802562,811656192.162094,655986866.581452,411498403.854498,171212291.41301
"Mercury",0.002,0.00125,"Sphere",4.5,63.6172512351933,47.712938426395,"PS",1.24e+12,"1",631526814188.641,631526814188.641,625275881369.317,505352845366.452,317006177784.206,131896876347.8
"Propanolol",5e-04,0.133,"Sphere",45,6361.72512351933,47712.938426395,"PS",1.24e+11,"1",148385059.724775,148385059.724775,146916325.509708,118738920.433847,74484534.2538077,30990807.412547
"Sulfamethoxazole",0.02,0.087,"Sphere",45,6361.72512351933,47712.938426395,"PS",1.24e+11,"1",9073661123.40001,9073661123.40001,8983848870.24881,7260816743.77087,4554686462.41675,1895070062.46839
"Aluminum",2.9,0.375,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PS",1.953e+09,"1",457856940.286765,457856940.286765,453325013.992755,366380812.890678,229829478.893549,95625235.352155
"Antimony",0.004,27.8,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PS",3.906e+09,"1",17037.5939079669,17037.5939079669,16868.9536340643,13633.619928951,8552.32494022138,3558.36896621763
"Arsenic",0.003,1.92,"Long Cylinder",100,329867.228626928,7853981.63397448,"PS",3.906e+10,"1",1850176.21344328,1850176.21344328,1831862.93369917,1480525.91415953,928729.036477165,386416.629925195
"BPA",6e-05,0.19,"Long Cylinder",13.2,5747.6065915956,18063.906430729,"PS",295909090909.091,"1",2832805.68565479,2832805.68565479,2804766.21427624,2266833.93555526,1421977.47211815,591642.686966806
"Bromine",0.01,13,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PS",3.906e+09,"1",91085.5982002847,91085.5982002847,90184.0213513439,72887.4296201614,45722.044872722,19023.5879347789
"Cadmium",0.005,0.00014,"Long Cylinder",3000,296880505.764235,212057504117.311,"PS",1.302e+09,"1",1409658067.38536,1409658067.38536,1395705092.34223,1128019744.12155,707603075.411173,294412670.419196
"Chromium",0.03,0.000454,"Long Cylinder",500,8246680.71567321,981747704.24681,"PS",7.812e+09,"1",15649067532.2075,15649067532.2075,15494171069.1736,12522509934.7414,7855329295.31347,3268369733.288
"Manganese",0.12,0.13,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PS",1.953e+09,"1",54651358.9201708,54651358.9201708,54110412.8108063,43732457.7720968,27433226.9236332,11414152.7608673
"Mercury",0.002,0.00125,"Long Cylinder",4.5,667.98113796953,715.694076395925,"PS",8.68e+11,"1",42101787612.576,42101787612.576,41685058757.9545,33690189691.0968,21133745185.6137,8793125089.85333
"Propanolol",5e-04,0.133,"Long Cylinder",45,66798.113796953,715694.076395925,"PS",8.68e+10,"1",9892337.31498497,9892337.31498498,9794421.7006472,7915928.02892313,4965635.61692052,2066053.82750313
"Sulfamethoxazole",0.02,0.087,"Long Cylinder",45,66798.113796953,715694.076395925,"PS",8.68e+10,"1",604910741.560001,604910741.560001,598923258.016588,484054449.584725,303645764.161117,126338004.164559
"Aluminum",2.9,0.375,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PS",1.116e+10,"1",45785694028.6765,45785694028.6764,45332501399.2755,36638081289.0678,22982947889.3549,9562523535.2155
